Area,Sector,Residential No of Rooms,Looking For,Land Unit Value,Sales Cost (Local),Sales Limit Lower (Local),Sales Limit Upper (Local)
sangotedo,land,2,Buy a property,2,69000000,54000000,84000000
sangotedo,land,2,Buy a property,3,103500000,81000000,126000000
sangotedo,land,2,Buy a property,4,138000000,108000000,168000000
sangotedo,land,2,Buy a property,5,172500000,135000000,210000000
sangotedo,land,2,Buy a property,6,207000000,162000000,252000000
sangotedo,land,2,Buy a property,7,241500000,189000000,294000000
sangotedo,land,2,Buy a property,8,276000000,216000000,336000000
sangotedo,land,2,Buy a property,9,310500000,243000000,378000000
surulere,land,2,Buy a property,1,65375000,37000002,93750000
surulere,land,2,Buy a property,2,130750000,74000004,187500000
surulere,land,2,Buy a property,3,196125000,111000006,281250000
surulere,land,2,Buy a property,4,261500000,148000008,375000000
surulere,land,2,Buy a property,5,326875000,185000010,468750000
surulere,land,2,Buy a property,6,392250000,222000012,562500000
surulere,land,2,Buy a property,7,457625000,259000014,656250000
surulere,land,2,Buy a property,8,523000000,296000016,750000000
surulere,land,2,Buy a property,9,588375000,333000018,843750000
trade-fair-complex,land,2,Buy a property,1,4200000,4200000,4200000
trade-fair-complex,land,2,Buy a property,2,8400000,8400000,8400000
trade-fair-complex,land,2,Buy a property,3,12600000,12600000,12600000
trade-fair-complex,land,2,Buy a property,4,16800000,16800000,16800000
trade-fair-complex,land,2,Buy a property,5,21000000,21000000,21000000
trade-fair-complex,land,2,Buy a property,6,25200000,25200000,25200000
trade-fair-complex,land,2,Buy a property,7,29400000,29400000,29400000
trade-fair-complex,land,2,Buy a property,8,33600000,33600000,33600000
trade-fair-complex,land,2,Buy a property,9,37800000,37800000,37800000
victoria-island,land,2,Buy a property,1,432204840,387096774,477312906
victoria-island,land,2,Buy a property,2,864409680,774193548,954625812
victoria-island,land,2,Buy a property,3,1296614520,1161290322,1431938718
victoria-island,land,2,Buy a property,4,1728819360,1548387096,1909251624
victoria-island,land,2,Buy a property,5,2161024200,1935483870,2386564530
victoria-island,land,2,Buy a property,6,2593229040,2322580644,2863877436
victoria-island,land,2,Buy a property,7,3025433880,2709677418,3341190342
victoria-island,land,2,Buy a property,8,3457638720,3096774192,3818503248
victoria-island,land,2,Buy a property,9,3889843560,3483870966,4295816154
wuse,land,2,Buy a property,1,151289747,136425648,166153848
wuse,land,2,Buy a property,2,302579494,272851296,332307696
wuse,land,2,Buy a property,3,453869241,409276944,498461544
wuse,land,2,Buy a property,4,605158988,545702592,664615392
wuse,land,2,Buy a property,5,756448735,682128240,830769240
